날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2019-03-27,광양항태양광,전남 광양시 도이동 775,2.3,8429400
2019-03-28,광양항태양광,전남 광양시 도이동 775,2.3,7423200
2019-03-29,광양항태양광,전남 광양시 도이동 775,2.3,8170200
2019-03-30,광양항태양광,전남 광양시 도이동 775,2.3,8080200
2019-03-31,광양항태양광,전남 광양시 도이동 775,2.3,9734400
2019-04-01,광양항태양광,전남 광양시 도이동 775,2.3,9068400
2019-04-02,광양항태양광,전남 광양시 도이동 775,2.3,9711000
2019-04-03,광양항태양광,전남 광양시 도이동 775,2.3,9766800
2019-04-04,광양항태양광,전남 광양시 도이동 775,2.3,9419400
2019-04-05,광양항태양광,전남 광양시 도이동 775,2.3,8289000
2019-04-06,광양항태양광,전남 광양시 도이동 775,2.3,9054000
2019-04-07,광양항태양광,전남 광양시 도이동 775,2.3,2143800
2019-04-08,광양항태양광,전남 광양시 도이동 775,2.3,7083000
2019-04-09,광양항태양광,전남 광양시 도이동 775,2.3,4748400
2019-04-10,광양항태양광,전남 광양시 도이동 775,2.3,2543400
2019-04-11,광양항태양광,전남 광양시 도이동 775,2.3,6760800
2019-04-12,광양항태양광,전남 광양시 도이동 775,2.3,8807400
2019-04-13,광양항태양광,전남 광양시 도이동 775,2.3,8152200
2019-04-14,광양항태양광,전남 광양시 도이동 775,2.3,3384000
2019-04-15,광양항태양광,전남 광양시 도이동 775,2.3,10168200
2019-04-16,광양항태양광,전남 광양시 도이동 775,2.3,8159400
2019-04-17,광양항태양광,전남 광양시 도이동 775,2.3,5513400
2019-04-18,광양항태양광,전남 광양시 도이동 775,2.3,10402200
2019-04-19,광양항태양광,전남 광양시 도이동 775,2.3,4113000
